,nikkei,aord,nyse,dax,ftse,hangseng,sp500,djia
2014-03-10,15120.14,5430.8,10525.5156,9542.87,6788.49,22264.93,1877.03,16421.89
2014-03-11,15224.11,5429.3,10486.15,9265.5,6689.45,22269.61,1877.17,16418.68
2014-03-12,14830.39,5400.5,10425.6394,9307.79,6685.52,21901.95,1867.63,16351.25
2014-03-13,14815.98,5429.1,10418.99,9188.69,6620.9,21756.08,1868.2,16340.08
2014-03-14,14327.66,5347.1,10297.7398,9017.79,6553.78,21539.49,1846.34,16108.89
2014-03-17,14277.67,5335.2,10297.7398,9017.79,6553.78,21473.95,1846.34,16108.89
2014-03-18,14411.27,5360.2,10377.02,9180.89,6568.35,21583.5,1858.83,16247.22
2014-03-19,14462.52,5373.0,10441.48,9242.55,6605.28,21568.69,1872.25,16336.19
2014-03-20,14224.23,5312.7,10359.4976,9277.05,6573.13,21182.16,1860.77,16222.17
2014-03-24,14475.3,5362.1,10359.4976,9277.05,6573.13,21846.45,1860.77,16222.17
2014-03-25,14423.19,5351.0,10362.0648,9188.77,6520.39,21732.32,1857.44,16276.69
2014-03-26,14477.16,5387.2,10417.0643,9338.4,6604.89,21887.75,1865.62,16367.88
2014-03-27,14622.89,5359.7,10359.3619,9448.58,6605.3,21834.45,1852.56,16268.99
2014-03-28,14696.03,5376.8,10373.4392,9451.21,6588.32,22065.53,1849.04,16264.23
2014-03-31,14827.83,5403.0,10373.4392,9451.21,6598.37,22151.06,1849.04,16264.23
2014-04-01,14791.99,5394.9,10527.7733,9555.91,6652.61,22448.54,1872.34,16457.66
2014-04-02,14946.32,5408.8,10584.3064,9603.71,6659.04,22523.94,1885.52,16532.61
2014-04-03,15071.88,5415.7,10616.8649,9623.36,6649.14,22565.08,1890.9,16573.0
2014-04-04,15063.77,5428.6,10598.4799,9628.82,6695.55,22510.08,1888.77,16572.55
2014-04-07,14808.85,5416.1,10598.4799,9628.82,6622.84,22377.15,1888.77,16572.55
2014-04-08,14606.88,5409.2,10407.418,9510.85,6590.69,22596.97,1845.04,16245.87
2014-04-09,14299.69,5460.3,10452.0144,9490.79,6635.61,22843.17,1851.96,16256.14
2014-04-10,14300.12,5477.5,10554.94,9506.35,6641.97,23186.96,1872.18,16437.18
2014-04-11,13960.05,5423.5,10366.82,9454.54,6561.7,23003.64,1833.08,16170.22
2014-04-14,13910.16,5353.6,10366.82,9454.54,6583.76,23038.8,1833.08,16170.22
2014-04-15,13996.81,5380.3,10359.4439,9339.17,6541.61,22671.26,1830.61,16173.24
2014-04-16,14417.68,5412.6,10401.9797,9173.71,6584.17,22696.01,1842.98,16262.56
2014-04-17,14417.53,5444.8,10505.7866,9317.82,6625.25,22760.24,1862.31,16424.85
2014-04-18,14516.27,5444.8,10532.8273,9409.71,6625.25,22760.24,1864.85,16408.54
2014-04-21,14512.38,5444.8,10532.8273,9409.71,6625.25,22760.24,1864.85,16408.54
2014-04-22,14388.77,5467.1,10559.35,9409.71,6681.76,22730.68,1871.89,16449.25
2014-04-23,14546.27,5502.2,10599.0169,9600.09,6674.74,22509.64,1879.55,16514.37
2014-04-24,14404.99,5515.5,10581.886,9544.19,6703.0,22562.8,1875.39,16501.65
2014-04-25,14429.26,5515.5,10575.91,9548.68,6685.69,22223.53,1878.61,16501.65
2014-04-28,14288.23,5516.1,10575.91,9548.68,6700.16,22132.53,1878.61,16501.65
2014-04-30,14304.11,5470.8,10583.649,9584.12,6780.03,22133.97,1878.33,16535.37
2014-05-01,14485.13,5430.4,10627.18,9603.23,6808.87,22133.97,1883.95,16580.84
2014-05-02,14457.51,5438.8,10629.3401,9603.23,6822.42,22260.67,1883.68,16558.87
2014-05-07,14033.45,5419.1,10568.6821,9467.53,6796.44,21746.26,1867.72,16401.02
2014-05-08,14163.78,5455.9,10626.84,9521.3,6839.25,21837.12,1878.21,16518.54
2014-05-09,14199.59,5442.0,10610.6474,9607.4,6814.57,21862.99,1875.63,16550.97
2014-05-12,14149.52,5429.0,10610.6474,9607.4,6851.75,22261.61,1875.63,16550.97
2014-05-13,14425.44,5475.4,10703.4977,9702.46,6873.08,22352.38,1896.65,16695.47
2014-05-14,14405.76,5475.9,10702.8557,9754.43,6878.49,22582.77,1897.45,16715.44
2014-05-15,14298.21,5490.2,10656.1196,9754.39,6840.89,22730.86,1888.53,16613.97
2014-05-16,14096.59,5458.9,10568.3654,9656.05,6855.81,22712.91,1870.85,16446.81
2014-05-19,14006.44,5390.3,10568.3654,9656.05,6844.55,22704.5,1870.85,16446.81
2014-05-20,14075.25,5401.7,10618.6395,9659.39,6802.0,22834.68,1885.08,16511.86
2014-05-21,14042.17,5403.9,10541.9456,9639.08,6821.04,22836.52,1872.83,16374.31
2014-05-22,14337.79,5458.1,10620.44,9697.87,6820.56,22953.76,1888.03,16533.06
2014-05-23,14462.17,5470.3,10644.5239,9720.91,6815.75,22965.86,1892.49,16543.08
